State,2012,2008,2004,2000,1996,1992,1988,1984,1980,1976,1972,1968,1964,1960,1956,1952,1948,1944,1940,1936,1932,1928,1924,1920,1916,1912,1908,1904,1900,1896,1892,1888,1884,1880,1876,1872,1868,1864,1860,1856,1852,1848,1844,1840,1836,1832,1828
Alabama,0.3836,0.3874,0.6246,0.5647,0.4316,0.4088,0.5917,0.6054,0.4875,0.5573,0.7243,0.1399,,0.5639,0.3939,0.3502,,0.8128,0.8522,0.8638,0.8474,0.4849,0.2502,0.3711,0.7604,0.6994,0.2431,0.2066,0.3482,0.2861,0.594,0.3266,0.6037,0.371,0.4002,0.5319,0.5125,,,0.6208,0.6089,0.4944,0.5899,0.4562,0.5534,0.9997,0.8989
Alaska,0.4081,0.3789,0.6107,0.5862,0.3327,0.3029,0.5959,0.6665,0.5435,0.3565,0.5813,0.4528,0.6591,0.4906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,0.4445,0.4491,0.5477,0.5095,0.4652,0.3652,0.5995,0.6642,0.6061,0.398,0.6164,0.5478,0.4945,0.4436,0.6099,0.5835,0.5379,0.588,0.6349,0.6985,0.6703,0.5757,0.4126,0.5561,0.5717,0.4352,,,,,,,,,,,,,,,,,,,,,
Arkansas,0.3688,0.3886,0.5431,0.5131,0.5374,0.5321,0.5637,0.6047,0.4813,0.6494,0.6882,0.3101,0.5606,0.5019,0.4582,0.4376,0.6172,0.6995,0.7902,0.818,0.8596,0.3933,0.2928,0.3873,0.6597,0.5501,0.373,0.4025,0.3504,0.2512,0.593,0.3804,0.5783,0.3866,0.3987,0.5217,0.5368,,0,0.6712,0.6218,0.4493,0.6301,0.4358,0.6408,,
California,0.6016,0.6092,0.4436,0.4165,0.511,0.4601,0.5113,0.5751,0.5269,0.4757,0.55,0.4782,0.5911,0.4955,0.5539,0.5683,0.4757,0.5648,0.5744,0.6695,0.5839,0.6469,0.572,0.662,0.4665,0.4181,0.5546,0.6184,0.545,0.4916,0.4383,0.4966,0.4533,0.4889,0.5088,0.5638,0.5024,0.586,0.3232,0.4838,0.5302,,,,,,
Colorado,0.5145,0.5366,0.5169,0.5075,0.4443,0.4013,0.5306,0.6344,0.5507,0.4258,0.6261,0.5046,0.6127,0.4491,0.5949,0.6027,0.5188,0.464,0.4837,0.6037,0.5481,0.6472,0.5702,0.5932,0.6074,0.428,0.4688,0.5526,0.4204,0.1386,,0.5522,0.4168,0.5126,,,,,,,,,,,,,
Connecticut,0.5806,0.6059,0.4395,0.3844,0.5283,0.4221,0.5198,0.6073,0.4816,0.469,0.5857,0.4432,0.6781,0.5373,0.6372,0.557,0.4791,0.523,0.5344,0.5532,0.474,0.5363,0.6154,0.6272,0.4666,0.3916,0.5943,0.5812,0.5692,0.6324,0.5006,0.4844,0.4895,0.5051,0.4833,0.5241,0.5149,0.5138,0.5386,0.4357,0.4979,0.4859,0.4618,0.5555,0.5065,0.3432,0.2295
Delaware,0.5861,0.6191,0.4574,0.419,0.5178,0.4351,0.5588,0.5978,0.4721,0.5198,0.596,0.4512,0.6095,0.5063,0.5509,0.5175,0.4876,0.5438,0.547,0.5462,0.4811,0.6503,0.577,0.5571,0.4778,0.4648,0.521,0.5405,0.5367,0.5318,0.499,0.4351,0.5655,0.4803,0.4455,0.51,0.41,0.4819,0.2372,0.5483,0.4985,0.518,0.4875,0.5499,0.467,0.4901,
Florida,0.499,0.5091,0.521,0.4885,0.4802,0.39,0.6087,0.6532,0.5552,0.5193,0.7191,0.4053,0.5115,0.4849,0.5727,0.5499,0.4882,0.7032,0.7401,0.7608,0.7468,0.5683,0.2806,0.3079,0.6934,0.6952,0.2158,0.2148,0.1855,0.243,0.8501,0.3989,0.5296,0.4583,0.5099,0.5352,,,0,0.5681,0.6003,0.572,,,,,
Georgia,0.4539,0.469,0.5793,0.5467,0.4584,0.4347,0.5975,0.6017,0.4095,0.6674,0.7504,0.304,0.4587,0.6254,0.3265,0.3034,0.6081,0.8174,0.8485,0.871,0.916,0.4336,0.1819,0.2763,0.7951,0.7663,0.3121,0.1833,0.2822,0.3656,0.5801,0.2833,0.6592,0.3459,0.2797,0.4503,0.3573,,0,0.5714,0.647,0.5149,0.5119,0.5578,0.482,1,0.9679
Hawaii,0.7055,0.7185,0.4526,0.3746,0.5693,0.4809,0.4475,0.551,0.429,0.5059,0.6248,0.387,0.7876,0.5003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,0.324,0.3591,0.6838,0.6717,0.3365,0.2842,0.6208,0.7236,0.6646,0.3712,0.6424,0.5679,0.5092,0.4622,0.6117,0.6542,0.4998,0.5155,0.5436,0.6296,0.5866,0.6422,0.4712,0.656,0.5204,0.3208,0.5409,0.6584,0.4696,0.2132,,,,,,,,,,,,,,,,,
Illinois,0.575,0.6183,0.4448,0.4258,0.5432,0.4858,0.5069,0.5617,0.4965,0.4813,0.5903,0.4708,0.5947,0.4998,0.5952,0.5484,0.5007,0.5152,0.5097,0.577,0.5523,0.5693,0.5884,0.6781,0.4334,0.3534,0.5453,0.5877,0.5283,0.5566,0.4879,0.4954,0.4643,0.5111,0.502,0.5627,0.5569,0.5442,0.5069,0.4409,0.5187,0.4242,0.5391,0.4891,0.5469,0.6801,0.6722
Indiana,0.4384,0.4984,0.5994,0.5665,0.4155,0.3679,0.5984,0.6167,0.5601,0.457,0.6611,0.5029,0.5598,0.446,0.599,0.5811,0.4878,0.4673,0.4903,0.5663,0.5467,0.5968,0.5525,0.5514,0.4647,0.4307,0.484,0.5399,0.506,0.5082,0.4746,0.4905,0.4946,0.4933,0.4739,0.53,0.5139,0.536,0.5109,0.5041,0.5205,0.4577,0.5007,0.5586,0.4403,0.671,0.5662
Iowa,0.5199,0.5393,0.499,0.4822,0.5026,0.4329,0.445,0.5327,0.5131,0.4846,0.5761,0.5301,0.6188,0.4322,0.5906,0.6375,0.5031,0.4749,0.4762,0.5441,0.5769,0.6177,0.5502,0.7091,0.4289,0.3764,0.5562,0.6339,0.5804,0.5547,0.4431,0.5236,0.4701,0.5699,0.585,0.6081,0.6192,0.6412,0.5461,0.407,0.5023,0.4459,,,,,
Kansas,0.3805,0.4155,0.62,0.5804,0.3608,0.3374,0.5579,0.6627,0.5785,0.4494,0.6766,0.5484,0.5409,0.391,0.6544,0.6877,0.4461,0.3918,0.424,0.5367,0.5356,0.7202,0.6154,0.6475,0.4995,0.393,0.5246,0.6481,0.5256,0.4763,,0.5523,0.339,0.604,0.631,0.6646,0.6882,0.7919,,,,,,,,,
Kentucky,0.3778,0.4115,0.5954,0.565,0.4584,0.4455,0.5552,0.6004,0.4907,0.5275,0.6337,0.4379,0.6401,0.4641,0.543,0.4984,0.5674,0.5445,0.5745,0.5851,0.5906,0.5936,0.4893,0.4926,0.5191,0.4848,0.4803,0.4713,0.4851,0.4893,0.5148,0.4498,0.5532,0.3987,0.3744,0.4644,0.2545,0.3017,0.0093,0.5254,0.4832,0.5746,0.4591,0.642,0.4741,0.4551,0.5554
Louisiana,0.4058,0.3993,0.5672,0.5255,0.5201,0.4558,0.5427,0.6077,0.512,0.5173,0.6532,0.2347,0.4319,0.5042,0.5328,0.4708,0.3275,0.8059,0.8588,0.8882,0.9279,0.237,0.2023,0.3049,0.859,0.7681,0.1193,0.0966,0.2096,0.2181,0.7653,0.2646,0.5722,0.3731,0.5165,0.5569,0.2931,,0,0.517,0.5194,0.5459,0.513,0.5973,0.5174,0.6167,0.5301
Maine,0.5627,0.5771,0.4458,0.4397,0.5162,0.3877,0.5534,0.6083,0.4561,0.4807,0.6146,0.4307,0.688,0.4295,0.7087,0.6605,0.4227,0.4745,0.4877,0.4152,0.4319,0.6863,0.7203,0.6892,0.4697,0.3943,0.63,0.6744,0.6189,0.679,0.4126,0.5749,0.3997,0.5146,0.5664,0.6786,0.6241,0.5907,0.6224,0.3568,0.5063,0.4025,0.5383,0.5023,0.5892,0.5467,0.4003
Maryland,0.6197,0.6192,0.4293,0.4018,0.5425,0.498,0.5111,0.5251,0.4418,0.5304,0.6126,0.4194,0.6547,0.5361,0.6004,0.5536,0.4801,0.5185,0.5825,0.6235,0.615,0.5706,0.4529,0.5511,0.528,0.4857,0.4885,0.4883,0.515,0.5473,0.5339,0.474,0.5207,0.4559,0.4395,0.4966,0.328,0.5509,0.0248,0.4504,0.5328,0.521,0.4761,0.5383,0.4627,0.4999,0.4975
Massachusetts,0.6067,0.618,0.3678,0.325,0.6147,0.4754,0.4538,0.5122,0.419,0.5611,0.4523,0.3289,0.7619,0.6022,0.5932,0.5422,0.5466,0.528,0.5311,0.5122,0.5064,0.4915,0.6226,0.6855,0.4661,0.3553,0.5821,0.5792,0.5759,0.6947,0.4522,0.5342,0.4033,0.5853,0.578,0.692,0.6976,0.7222,0.628,0.2308,0.3507,0.4532,0.4017,0.5744,0.4481,0.2061,0.1539
Michigan,0.5404,0.5733,0.4781,0.4614,0.5169,0.4377,0.5357,0.5923,0.4899,0.4644,0.562,0.4146,0.667,0.5085,0.5563,0.5544,0.4757,0.5019,0.4952,0.5633,0.5236,0.7036,0.7537,0.7276,0.4405,0.2736,0.6193,0.6951,0.581,0.5377,0.4326,0.4973,0.472,0.5249,0.5241,0.6266,0.5698,0.536,0.5723,0.4152,0.5045,0.368,0.4975,0.5171,0.5622,,
Minnesota,0.5265,0.5406,0.4761,0.455,0.511,0.4348,0.459,0.4954,0.4256,0.549,0.5158,0.4146,0.6376,0.5058,0.5368,0.5533,0.5716,0.5241,0.5149,0.6184,0.5991,0.5777,0.5118,0.7059,0.4625,0.3184,0.5911,0.7398,0.6021,0.5662,0.3776,0.5412,0.3687,0.6228,0.588,0.6127,0.6088,0.5906,0.6353,,,,,,,,
Mississippi,0.4379,0.43,0.5944,0.5762,0.4408,0.4077,0.5989,0.6185,0.4942,0.4956,0.782,0.1352,0.1286,0.3634,0.2446,0.3956,0.1009,0.9356,0.957,0.9703,0.9598,0.179,0.0755,0.1403,0.9278,0.889,0.0652,0.0559,0.0966,0.0692,0.7622,0.2599,0.6434,0.2976,0.3192,0.6348,,,0,0.5944,0.605,0.494,0.5743,0.5343,0.5128,1,0.8105
Missouri,0.4428,0.4923,0.533,0.5042,0.4754,0.4407,0.5183,0.6002,0.5116,0.511,0.6229,0.4487,0.6405,0.5026,0.4989,0.5071,0.5811,0.5137,0.5227,0.6076,0.6369,0.5558,0.4958,0.5456,0.5059,0.4735,0.485,0.4993,0.4594,0.4525,0.4956,0.4531,0.5349,0.3867,0.4136,0.4365,0.5696,0.6972,0.1028,0.5443,0.5642,0.4491,0.5698,0.4337,0.5998,1,0.7064
Montana,0.4166,0.4711,0.5907,0.5844,0.4123,0.3763,0.5207,0.6047,0.5682,0.454,0.5793,0.506,0.5895,0.486,0.5713,0.5939,0.5309,0.5428,0.5878,0.6928,0.588,0.5837,0.425,0.6113,0.5688,0.35,0.4698,0.5421,0.3979,0.1971,0.3979,,,,,,,,,,,,,,,,
Nebraska,0.3803,0.416,0.659,0.6225,0.3495,0.294,0.6015,0.7055,0.6553,0.3846,0.705,0.5982,0.5261,0.3793,0.6551,0.6915,0.4585,0.4142,0.4281,0.5714,0.6298,0.6319,0.4709,0.6466,0.5528,0.4369,0.476,0.6138,0.5046,0.4618,0.1246,0.5351,0.4053,0.6287,0.647,0.7068,0.6391,,,,,,,,,,
Nevada,0.5236,0.5515,0.5047,0.4952,0.4393,0.3736,0.5886,0.6585,0.6254,0.4581,0.6368,0.4746,0.5858,0.5116,0.5797,0.6145,0.5037,0.5462,0.6008,0.7281,0.6941,0.5654,0.4176,0.5692,0.5336,0.397,0.4393,0.5666,0.3775,0.1879,0.0656,0.5773,0.4359,0.476,0.5273,0.5743,0.5539,0.5984,,,,,,,,,
New Hampshire,0.5198,0.5413,0.4887,0.4807,0.4932,0.3886,0.6249,0.6866,0.5774,0.4347,0.6398,0.521,0.6389,0.4658,0.6611,0.6092,0.4666,0.5211,0.5322,0.4973,0.4899,0.5865,0.5983,0.5984,0.4912,0.3948,0.5932,0.6007,0.5933,0.6866,0.4711,0.5034,0.4634,0.5194,0.5183,0.5394,0.5522,0.5256,0.569,0.4571,0.564,0.295,0.5522,0.4388,0.7501,0.5676,0.459
New Jersey,0.5825,0.5714,0.4623,0.4029,0.5372,0.4295,0.5624,0.6009,0.5197,0.4792,0.6157,0.461,0.6561,0.4996,0.6468,0.5681,0.4593,0.5031,0.5155,0.5954,0.4948,0.5977,0.6217,0.6765,0.4268,0.412,0.568,0.5668,0.5528,0.5968,0.5067,0.4752,0.4898,0.4902,0.4701,0.5452,0.4912,0.4716,0.4813,0.4723,0.5324,0.5148,0.4937,0.5174,0.4947,0.4989,0.4786
New Mexico,0.5299,0.5691,0.4984,0.4785,0.4918,0.459,0.5186,0.597,0.5497,0.4828,0.6105,0.5185,0.5922,0.5015,0.5781,0.5539,0.5638,0.5347,0.5659,0.6269,0.6272,0.5901,0.4852,0.5468,0.502,0.4139,,,,,,,,,,,,,,,,,,,,,
New York,0.6335,0.6288,0.4008,0.3522,0.5947,0.4973,0.4752,0.5384,0.4666,0.5187,0.5854,0.443,0.6856,0.5253,0.6119,0.5545,0.45,0.5231,0.515,0.5885,0.5407,0.4979,0.5576,0.6456,0.4451,0.4127,0.5311,0.5313,0.531,0.5758,0.4899,0.4928,0.4825,0.5032,0.4817,0.5323,0.4941,0.5046,0.5371,0.3284,0.5018,0.4794,0.489,0.5118,0.5463,0.521,0.5145
North Carolina,0.4835,0.497,0.5602,0.5603,0.4404,0.4265,0.5797,0.619,0.493,0.5527,0.6946,0.3951,0.5615,0.5211,0.4934,0.4609,0.5802,0.6671,0.7403,0.734,0.6993,0.5494,0.3973,0.4322,0.581,0.5924,0.4549,0.3967,0.4547,0.4682,0.4744,0.472,0.5325,0.4798,0.4638,0.5738,0.5341,,0,0.5678,0.5043,0.5517,0.4761,0.5768,0.531,0.8477,0.7307
North Dakota,0.3869,0.445,0.6286,0.6066,0.4013,0.3218,0.5603,0.6484,0.6423,0.458,0.6207,0.5594,0.5797,0.4452,0.6172,0.7097,0.4341,0.4548,0.4418,0.596,0.6959,0.548,0.4768,0.7779,0.4784,0.3414,0.6102,0.7512,0.5525,0.5557,,,,,,,,,,,,,,,,,
Ohio,0.5058,0.5138,0.5081,0.4997,0.4738,0.4018,0.55,0.589,0.5151,0.4892,0.5963,0.4523,0.6294,0.4672,0.6111,0.5676,0.4948,0.4982,0.522,0.5799,0.4988,0.6489,0.5833,0.5847,0.5186,0.4096,0.5103,0.5975,0.523,0.5186,0.4753,0.4951,0.4694,0.5173,0.5021,0.5324,0.54,0.5637,0.5124,0.4421,0.4783,0.4212,0.4774,0.541,0.4756,0.5133,0.516
Oklahoma,0.3323,0.3435,0.6557,0.6031,0.4045,0.3402,0.5793,0.6861,0.605,0.4875,0.737,0.4768,0.5575,0.4098,0.5513,0.5459,0.6275,0.5557,0.5741,0.6683,0.733,0.6372,0.4282,0.5011,0.5065,0.4695,0.4333,,,,,,,,,,,,,,,,,,,,
Oregon,0.5424,0.5675,0.4719,0.4652,0.4715,0.4248,0.4661,0.5591,0.4833,0.4762,0.5245,0.4983,0.6372,0.4732,0.5525,0.6054,0.464,0.5178,0.537,0.6442,0.5799,0.6418,0.5101,0.602,0.459,0.3434,0.5639,0.6706,0.5546,0.5007,0.1815,0.5382,0.467,0.5051,0.5092,0.5866,0.4963,0.539,0.362,,,,,,,,
Pennsylvania,0.5196,0.5447,0.4842,0.4643,0.4917,0.4515,0.507,0.5334,0.4959,0.504,0.5911,0.4402,0.6492,0.5106,0.5649,0.5274,0.4692,0.5114,0.5323,0.5688,0.4533,0.6524,0.6534,0.6576,0.4022,0.3249,0.5884,0.68,0.6074,0.6098,0.4509,0.5274,0.4346,0.5084,0.5062,0.6207,0.522,0.5175,0.5626,0.5013,0.512,0.5028,0.505,0.5,0.5118,0.5796,0.6666
Rhode Island,0.627,0.6286,0.3867,0.3191,0.5971,0.4704,0.4393,0.5166,0.372,0.5536,0.53,0.3178,0.8087,0.6363,0.5826,0.5089,0.5759,0.5859,0.5673,0.531,0.5508,0.4955,0.5963,0.6397,0.46,0.3904,0.6076,0.606,0.5974,0.6833,0.4575,0.5388,0.3781,0.6224,0.5929,0.7194,0.6649,0.6224,0.6137,0.337,0.5137,0.6077,0.3958,0.6122,0.5224,0.4307,0.2297
South Carolina,0.4409,0.449,0.5798,0.5683,0.4385,0.3988,0.615,0.6355,0.4957,0.5617,0.7058,0.3809,0.411,0.5124,0.2518,0.4928,0.2414,0.8764,0.9563,0.9857,0.9803,0.0854,0.0221,0.0391,0.9671,0.9594,0.0594,0.0463,0.0704,0.1351,0.7756,0.1717,0.7525,0.3413,0.5024,0.7573,0.5793,,0,,,,,,,,
South Dakota,0.3987,0.4475,0.5991,0.603,0.4303,0.3714,0.5285,0.63,0.6053,0.4891,0.5415,0.5327,0.5561,0.4179,0.5839,0.6927,0.4704,0.4167,0.4259,0.5402,0.6362,0.6018,0.4969,0.6074,0.4591,0.4207,0.5884,0.7109,0.5673,0.4948,0.1288,,,,,,,,,,,,,,,,
Tennessee,0.3904,0.4179,0.5681,0.5115,0.48,0.4708,0.5789,0.5784,0.487,0.5594,0.677,0.3785,0.555,0.4577,0.4921,0.4999,0.4914,0.6045,0.6725,0.6878,0.6649,0.5376,0.4354,0.5129,0.5631,0.528,0.4587,0.434,0.4495,0.4633,0.5136,0.4576,0.5145,0.4426,0.4021,0.4784,0.6843,,0,0.5218,0.4927,0.5252,0.4995,0.5566,0.4208,0.9542,0.9519
Texas,0.4135,0.4363,0.6109,0.593,0.4383,0.3708,0.5595,0.6361,0.5528,0.5114,0.662,0.3987,0.6332,0.5052,0.5526,0.5313,0.6596,0.7142,0.8092,0.8708,0.8806,0.5177,0.1978,0.2354,0.7692,0.7273,0.2235,0.219,0.3083,0.3075,0.5665,0.2473,0.6926,0.2395,0.2996,0.4071,,,,0.6659,0.7307,0.2971,,,,,
Utah,0.2467,0.3417,0.7154,0.6683,0.333,0.2465,0.6622,0.745,0.7277,0.3365,0.6764,0.5649,0.5486,0.4517,0.6456,0.5893,0.5398,0.6044,0.6225,0.6934,0.5652,0.5358,0.4926,0.5593,0.5878,0.3255,0.5619,0.6142,0.5058,0.1727,,,,,,,,,,,,,,,,,
Vermont,0.6657,0.6746,0.388,0.407,0.5335,0.4611,0.511,0.5792,0.4437,0.4314,0.6266,0.5275,0.663,0.4135,0.7216,0.7145,0.3692,0.4293,0.4492,0.4324,0.4108,0.6687,0.7822,0.7582,0.3522,0.2443,0.7508,0.7797,0.7573,0.8008,0.2926,0.6905,0.2918,0.6981,0.683,0.7829,0.7857,0.761,0.7586,0.2084,0.2972,0.4827,0.3696,0.639,0.4007,0.245,0.2477
Virginia,0.5116,0.5263,0.5368,0.5247,0.4515,0.4059,0.5974,0.6229,0.5303,0.4796,0.6784,0.4336,0.5354,0.4697,0.5537,0.5632,0.4789,0.6236,0.6808,0.7023,0.6846,0.5391,0.3279,0.3786,0.6677,0.6595,0.3836,0.3695,0.4382,0.4594,0.5617,0.4946,0.5105,0.3947,0.4042,0.5047,,,0.0113,0.5996,0.5571,0.492,0.5305,0.4935,0.5664,0.7496,0.6899
Washington,0.558,0.5734,0.456,0.4456,0.4984,0.434,0.4846,0.5582,0.4966,0.4611,0.5692,0.4512,0.6197,0.4827,0.5391,0.5433,0.5261,0.5684,0.5822,0.6638,0.5746,0.6706,0.5224,0.5596,0.4813,0.269,0.5768,0.6995,0.5344,0.4184,0.3388,,,,,,,,,,,,,,,,
West Virginia,0.3545,0.4249,0.5606,0.5192,0.5151,0.4841,0.4746,0.5511,0.453,0.5807,0.6361,0.4078,0.6794,0.5273,0.5408,0.4808,0.5732,0.5489,0.571,0.6056,0.5447,0.5843,0.4945,0.553,0.4844,0.4211,0.5342,0.5526,0.5427,0.5223,0.4937,0.4903,0.5094,0.4105,0.4215,0.5174,0.5883,0.6824,,,,,,,,,
Wisconsin,0.5283,0.5622,0.4932,0.4761,0.4881,0.4113,0.478,0.5419,0.479,0.495,0.534,0.4789,0.6209,0.4805,0.6158,0.6095,0.507,0.4857,0.5015,0.638,0.6346,0.5352,0.3706,0.711,0.428,0.4106,0.5452,0.6321,0.6006,0.5993,0.4772,0.4979,0.4579,0.5404,0.5057,0.546,0.5625,0.5588,0.5659,0.4422,0.5204,0.351,,,,,
Wyoming,0.2782,0.3254,0.6886,0.6776,0.3684,0.3397,0.6053,0.7051,0.6264,0.3981,0.6901,0.5576,0.5656,0.4499,0.6008,0.6271,0.5162,0.4877,0.5282,0.6058,0.5607,0.6368,0.5239,0.6415,0.5462,0.362,0.5543,0.6672,0.5866,0.4775,,,,,,,,,,,,,,,,,
Washington DC,0.9091,0.9246,0.0934,0.0895,0.8519,0.8464,0.143,0.1373,0.1341,0.8163,0.2156,0.1818,0.855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
